Final results:
dst[0] bits: 0x3A3303FB
golden[0] bits: 0x3A32FF46
dst[1] bits: 0x3C41D7A8
golden[1] bits: 0x3C41D83D
dst[2] bits: 0x3C0AB699
golden[2] bits: 0x3C0AB708
dst[3] bits: 0x3A910E2C
golden[3] bits: 0x3A910B56
dst[4] bits: 0x3B3DB13C
golden[4] bits: 0x3B3DAEF8
dst[5] bits: 0x3B1DD8E1
golden[5] bits: 0x3B1DD6EB
dst[6] bits: 0x3BB12021
golden[6] bits: 0x3BB11F5D
dst[7] bits: 0x3C19453B
golden[7] bits: 0x3C1945B7
dst[8] bits: 0x3A183D47
golden[8] bits: 0x3A183972
dst[9] bits: 0x39EA4B93
golden[9] bits: 0x39EA432A
dst[10] bits: 0x3C3900B6
golden[10] bits: 0x3C390149
dst[11] bits: 0x3B13A21F
golden[11] bits: 0x3B13A05B
dst[12] bits: 0x3C09E2F1
golden[12] bits: 0x3C09E359
dst[13] bits: 0x39D2F2EB
golden[13] bits: 0x39D2EBCB
dst[14] bits: 0x3B1B46F5
golden[14] bits: 0x3B1B4515
dst[15] bits: 0x3BEA4F7A
golden[15] bits: 0x3BEA4E68
dst[16] bits: 0x3A829135
golden[16] bits: 0x3A828E90
dst[17] bits: 0x3C8F56F2
golden[17] bits: 0x3C8F5873
dst[18] bits: 0x3C70927D
golden[18] bits: 0x3C70933B
dst[19] bits: 0x39EC6804
golden[19] bits: 0x39EC6010
dst[20] bits: 0x39E79773
golden[20] bits: 0x39E78FF2
dst[21] bits: 0x3B63FE18
golden[21] bits: 0x3B63FB68
dst[22] bits: 0x3C8BDF58
golden[22] bits: 0x3C8BE0CF
dst[23] bits: 0x3AF03E8D
golden[23] bits: 0x3AF039E4
dst[24] bits: 0x3A78BBE6
golden[24] bits: 0x3A78B6E0
dst[25] bits: 0x3B0D79D4
golden[25] bits: 0x3B0D7823
dst[26] bits: 0x39EAF223
golden[26] bits: 0x39EAE998
dst[27] bits: 0x3A7DDA38
golden[27] bits: 0x3A7DD583
dst[28] bits: 0x3B16B035
golden[28] bits: 0x3B16AE58
dst[29] bits: 0x3B3DFA8D
golden[29] bits: 0x3B3DF849
dst[30] bits: 0x3A84D81E
golden[30] bits: 0x3A84D567
dst[31] bits: 0x3A83ABBF
golden[31] bits: 0x3A83A917
dst[32] bits: 0x3A7AEA02
golden[32] bits: 0x3A7AE539
dst[33] bits: 0x3B245CE9
golden[33] bits: 0x3B245AE9
dst[34] bits: 0x3AA6A964
golden[34] bits: 0x3AA6A61D
dst[35] bits: 0x39E3F49F
golden[35] bits: 0x39E3EC79
dst[36] bits: 0x3C3A5965
golden[36] bits: 0x3C3A59F9
dst[37] bits: 0x3B7221A3
golden[37] bits: 0x3B721EC1
dst[38] bits: 0x3BAAA890
golden[38] bits: 0x3BAAA7C9
dst[39] bits: 0x3A5C00BC
golden[39] bits: 0x3A5BFB13
dst[40] bits: 0x3CAD2D07
golden[40] bits: 0x3CAD2ED8
dst[41] bits: 0x3C4BCA94
golden[41] bits: 0x3C4BCB30
dst[42] bits: 0x3A299F5D
golden[42] bits: 0x3A299AC4
dst[43] bits: 0x3AC5DF37
golden[43] bits: 0x3AC5DB6C
dst[44] bits: 0x3BEA4223
golden[44] bits: 0x3BEA4111
dst[45] bits: 0x3BE0CF43
golden[45] bits: 0x3BE0CE4C
dst[46] bits: 0x3C8A5D7D
golden[46] bits: 0x3C8A5EEE
dst[47] bits: 0x3B0D7870
golden[47] bits: 0x3B0D76CC
dst[48] bits: 0x3C34CFA9
golden[48] bits: 0x3C34D037
dst[49] bits: 0x3BBEE469
golden[49] bits: 0x3BBEE396
dst[50] bits: 0x3AAFF850
golden[50] bits: 0x3AAFF4D0
dst[51] bits: 0x3B891D10
golden[51] bits: 0x3B891C74
dst[52] bits: 0x3C5F0320
golden[52] bits: 0x3C5F03D1
dst[53] bits: 0x3C40E2DB
golden[53] bits: 0x3C40E375
dst[54] bits: 0x3B45507C
golden[54] bits: 0x3B454E28
dst[55] bits: 0x3B89E53C
golden[55] bits: 0x3B89E49B
dst[56] bits: 0x39F02857
golden[56] bits: 0x39F01FB8
dst[57] bits: 0x3A8A1347
golden[57] bits: 0x3A8A1090
dst[58] bits: 0x3C1EAF9E
golden[58] bits: 0x3C1EB019
dst[59] bits: 0x3B0920EA
golden[59] bits: 0x3B091F4E
dst[60] bits: 0x3A50F08C
golden[60] bits: 0x3A50EB15
dst[61] bits: 0x3B6AD442
golden[61] bits: 0x3B6AD170
dst[62] bits: 0x3BD9991F
golden[62] bits: 0x3BD99822
dst[63] bits: 0x3BC21C69
golden[63] bits: 0x3BC21B83
dst[64] bits: 0x3AEA13CA
golden[64] bits: 0x3AEA0F28
dst[65] bits: 0x3B17564A
golden[65] bits: 0x3B175470
dst[66] bits: 0x3B47CF78
golden[66] bits: 0x3B47CD09
dst[67] bits: 0x3C131868
golden[67] bits: 0x3C1318D7
dst[68] bits: 0x3B5210A0
golden[68] bits: 0x3B520E2A
dst[69] bits: 0x3AFC19E8
golden[69] bits: 0x3AFC16E7
dst[70] bits: 0x3B3962AD
golden[70] bits: 0x3B396089
dst[71] bits: 0x39EB72C9
golden[71] bits: 0x39EB6A72
dst[72] bits: 0x39F8EA41
golden[72] bits: 0x39F8E3D7
dst[73] bits: 0x3BD9E538
golden[73] bits: 0x3BD9E437
dst[74] bits: 0x3CA6D09F
golden[74] bits: 0x3CA6D262
dst[75] bits: 0x3B8C38A5
golden[75] bits: 0x3B8C3807
dst[76] bits: 0x3AFC72EB
golden[76] bits: 0x3AFC6FD3
dst[77] bits: 0x3A4EBAD1
golden[77] bits: 0x3A4EB55A
dst[78] bits: 0x3B42ECEC
golden[78] bits: 0x3B42EAA1
dst[79] bits: 0x3CA61341
golden[79] bits: 0x3CA614FD
dst[80] bits: 0x3C0E8239
golden[80] bits: 0x3C0E82A5
dst[81] bits: 0x3B625C86
golden[81] bits: 0x3B6259D2
dst[82] bits: 0x3C4C1243
golden[82] bits: 0x3C4C12DE
dst[83] bits: 0x3A845CC8
golden[83] bits: 0x3A845A42
dst[84] bits: 0x3B4C20E4
golden[84] bits: 0x3B4C1E7C
dst[85] bits: 0x3C9386A1
golden[85] bits: 0x3C93882D
dst[86] bits: 0x3B83D9A2
golden[86] bits: 0x3B83D913
dst[87] bits: 0x3B240D95
golden[87] bits: 0x3B240BB8
dst[88] bits: 0x3A998A17
golden[88] bits: 0x3A9986FA
dst[89] bits: 0x3B6A139C
golden[89] bits: 0x3B6A10D5
dst[90] bits: 0x3C964B7E
golden[90] bits: 0x3C964D14
dst[91] bits: 0x39D602DE
golden[91] bits: 0x39D5FBA0
dst[92] bits: 0x3C1631CD
golden[92] bits: 0x3C163246
dst[93] bits: 0x3C2E08DC
golden[93] bits: 0x3C2E095D
dst[94] bits: 0x3C62567D
golden[94] bits: 0x3C62572D
dst[95] bits: 0x3BFCC48E
golden[95] bits: 0x3BFCC54D
dst[96] bits: 0x3C265011
golden[96] bits: 0x3C26508C
dst[97] bits: 0x3B502CA5
golden[97] bits: 0x3B502A24
dst[98] bits: 0x3B76EB91
golden[98] bits: 0x3B76EA83
dst[99] bits: 0x3B0FBE29
golden[99] bits: 0x3B0FBC76
dst[100] bits: 0x3A02E8EB
golden[100] bits: 0x3A02E578
dst[101] bits: 0x3C542988
golden[101] bits: 0x3C542A2E
dst[102] bits: 0x3B7F9ABE
golden[102] bits: 0x3B7F99A9
dst[103] bits: 0x3A689CC4
golden[103] bits: 0x3A689657
dst[104] bits: 0x3B44DEC9
golden[104] bits: 0x3B44DC68
dst[105] bits: 0x3B35E20A
golden[105] bits: 0x3B35DFF6
dst[106] bits: 0x3AD9E454
golden[106] bits: 0x3AD9E031
