Final results:
dst[0] bits: 0x3A86D626
golden[0] bits: 0x3A86D26D
dst[1] bits: 0x3C920118
golden[1] bits: 0x3C920180
dst[2] bits: 0x3C50F5F5
golden[2] bits: 0x3C50F693
dst[3] bits: 0x3ADA83BF
golden[3] bits: 0x3ADA7F93
dst[4] bits: 0x3B8EE0DE
golden[4] bits: 0x3B8EDF2B
dst[5] bits: 0x3B6DC8D7
golden[5] bits: 0x3B6DC5EC
dst[6] bits: 0x3C0569B5
golden[6] bits: 0x3C056916
dst[7] bits: 0x3C66E3D7
golden[7] bits: 0x3C66E47B
dst[8] bits: 0x3A655639
golden[8] bits: 0x3A655026
dst[9] bits: 0x3A30794A
golden[9] bits: 0x3A3072FA
dst[10] bits: 0x3C8B589E
golden[10] bits: 0x3C8B5904
dst[11] bits: 0x3B5E65E9
golden[11] bits: 0x3B5E634D
dst[12] bits: 0x3C4FB71E
golden[12] bits: 0x3C4FB7B9
dst[13] bits: 0x3A1EE39B
golden[13] bits: 0x3A1EDDFC
dst[14] bits: 0x3B69E9BC
golden[14] bits: 0x3B69E6E4
dst[15] bits: 0x3C307C3A
golden[15] bits: 0x3C307B68
dst[16] bits: 0x3AC4B07B
golden[16] bits: 0x3AC4ACC3
dst[17] bits: 0x3CD7EE17
golden[17] bits: 0x3CD7F052
dst[18] bits: 0x3CB533A2
golden[18] bits: 0x3CB53424
dst[19] bits: 0x3A32105B
golden[19] bits: 0x3A320A54
dst[20] bits: 0x3A2E6FF8
golden[20] bits: 0x3A2E6A36
dst[21] bits: 0x3BABB9FF
golden[21] bits: 0x3BABB7EA
dst[22] bits: 0x3CD2B4FC
golden[22] bits: 0x3CD2B727
dst[23] bits: 0x3B34F469
golden[23] bits: 0x3B34F0E3
dst[24] bits: 0x3ABB5966
golden[24] bits: 0x3ABB55AC
dst[25] bits: 0x3B551F59
golden[25] bits: 0x3B551CD2
dst[26] bits: 0x3A30F6BE
golden[26] bits: 0x3A30F078
dst[27] bits: 0x3ABF3459
golden[27] bits: 0x3ABF3082
dst[28] bits: 0x3B63000F
golden[28] bits: 0x3B62FD66
dst[29] bits: 0x3B8F1817
golden[29] bits: 0x3B8F165E
dst[30] bits: 0x3AC81E97
golden[30] bits: 0x3AC81A8B
dst[31] bits: 0x3AC65A1B
golden[31] bits: 0x3AC6563B
dst[32] bits: 0x3ABCFDC6
golden[32] bits: 0x3ABCFA1C
dst[33] bits: 0x3B77999A
golden[33] bits: 0x3B7796A5
dst[34] bits: 0x3AFB101A
golden[34] bits: 0x3AFB0B24
dst[35] bits: 0x3A2BB2DD
golden[35] bits: 0x3A2BACED
dst[36] bits: 0x3C8C5C3D
golden[36] bits: 0x3C8C5CA5
dst[37] bits: 0x3BB66047
golden[37] bits: 0x3BB65E0B
dst[38] bits: 0x3C008AB7
golden[38] bits: 0x3C008A1E
dst[39] bits: 0x3AA5B568
golden[39] bits: 0x3AA5B0D4
dst[40] bits: 0x3D027022
golden[40] bits: 0x3D02717A
dst[41] bits: 0x3C997F77
golden[41] bits: 0x3C997FE9
dst[42] bits: 0x3A7F85EE
golden[42] bits: 0x3A7F7EFC
dst[43] bits: 0x3B150A13
golden[43] bits: 0x3B150739
dst[44] bits: 0x3C30722E
golden[44] bits: 0x3C307157
dst[45] bits: 0x3C295441
golden[45] bits: 0x3C295376
dst[46] bits: 0x3CD06FBA
golden[46] bits: 0x3CD071DD
dst[47] bits: 0x3B551D41
golden[47] bits: 0x3B551AA4
dst[48] bits: 0x3C883063
golden[48] bits: 0x3C8830C6
dst[49] bits: 0x3C0FC83C
golden[49] bits: 0x3C0FC793
dst[50] bits: 0x3B048AE5
golden[50] bits: 0x3B04883A
dst[51] bits: 0x3BCE8D07
golden[51] bits: 0x3BCE8C15
dst[52] bits: 0x3CA7F9AD
golden[52] bits: 0x3CA7FA25
dst[53] bits: 0x3C9148B5
golden[53] bits: 0x3C91491E
dst[54] bits: 0x3B949E92
golden[54] bits: 0x3B949CC5
dst[55] bits: 0x3BCFBA92
golden[55] bits: 0x3BCFB9A7
dst[56] bits: 0x3A34E3AF
golden[56] bits: 0x3A34DDC3
dst[57] bits: 0x3ACFFFEE
golden[57] bits: 0x3ACFFBD6
dst[58] bits: 0x3C6F0C54
golden[58] bits: 0x3C6F0CFE
dst[59] bits: 0x3B4E92D4
golden[59] bits: 0x3B4E9046
dst[60] bits: 0x3A9D602C
golden[60] bits: 0x3A9D5BC6
dst[61] bits: 0x3BB0E03D
golden[61] bits: 0x3BB0DE19
dst[62] bits: 0x3C23E5B8
golden[62] bits: 0x3C23E4F7
dst[63] bits: 0x3C1234E1
golden[63] bits: 0x3C123435
dst[64] bits: 0x3B304F45
golden[64] bits: 0x3B304BE3
dst[65] bits: 0x3B63FA41
golden[65] bits: 0x3B63F78C
dst[66] bits: 0x3B967FDC
golden[66] bits: 0x3B967E06
dst[67] bits: 0x3C5D9674
golden[67] bits: 0x3C5D9715
dst[68] bits: 0x3B9E3928
golden[68] bits: 0x3B9E3738
dst[69] bits: 0x3B3DE2AC
golden[69] bits: 0x3B3DE076
dst[70] bits: 0x3B8BA268
golden[70] bits: 0x3B8BA0B3
dst[71] bits: 0x3A3157A5
golden[71] bits: 0x3A3151C7
dst[72] bits: 0x3A3B7C51
golden[72] bits: 0x3A3B7790
dst[73] bits: 0x3C241F0A
golden[73] bits: 0x3C241E4D
dst[74] bits: 0x3CFB4B33
golden[74] bits: 0x3CFB4DC9
dst[75] bits: 0x3BD33B83
golden[75] bits: 0x3BD33A90
dst[76] bits: 0x3B3E25B8
golden[76] bits: 0x3B3E2367
dst[77] bits: 0x3A9BB60F
golden[77] bits: 0x3A9BB1F8
dst[78] bits: 0x3B92D1EF
golden[78] bits: 0x3B92D027
